gene_name	norm_DE
PLVAP	5.864924900534819e-4
CLCF1	5.846661127813089e-4
F2RL3	5.835072524789928e-4
RAG1	5.831363138614057e-4
DGKH	5.807476123605748e-4
GPR171	5.803213325188269e-4
PLEKHG4B	5.780645623903206e-4
DBNDD1	5.775424291598512e-4
FAM240C	5.775424291598512e-4
CCL24	5.739384825839417e-4
BCAS4	5.718591929476862e-4
SPRY4	5.697511082164912e-4
FRRS1	5.672898403789313e-4
TMEM121	5.645672193344151e-4
ERBB4	5.630929892969014e-4
ABHD15	5.606412923985844e-4
MAGI2	5.60402357876844e-4
SCN3A	5.585440508469733e-4
TRAF3IP2	5.576868444796128e-4
FSTL4	5.549510250129777e-4
MYO1G	5.549510250129777e-4
LRP6	5.546914685616416e-4
KIF16B	5.517401834655144e-4
CD79A	5.510676583602923e-4
EMP2	5.498540635832272e-4
CELSR1	5.465005717429813e-4
LRFN2	5.413492985468489e-4
PLEKHG1	5.411398530833552e-4
SYNE3	5.398417344546332e-4
TNFRSF10D	5.396514207814241e-4
CAMK1D	5.380315821822519e-4
RNF150	5.37756942676176e-4
ZFPM2	5.375382332669971e-4
TMEM225	5.374971191449058e-4
CDH11	5.364162995300532e-4
KCNK3	5.364162995300532e-4
CASP8	5.360880568860236e-4
GDA	5.329199137178723e-4
MDM2	5.32071799045073e-4
PDZRN3	5.302529202289248e-4
MGLL	5.273735978654948e-4
ASAP2	5.273177989036583e-4
GPM6B	5.271507935418905e-4
TXNDC5	5.269128061342028e-4
SNX25	5.242168157755507e-4
MSH6	5.24140047370282e-4
COX8C	5.240983795984596e-4
CBX4	5.21763098974208e-4
SCN9A	5.216013164344588e-4
ERICH3	5.205214257956016e-4
NIBAN3	5.198547676372072e-4
TMPRSS15	5.177574814825476e-4
NUCB2	5.177487630736625e-4
MYEF2	5.163294794019536e-4
SLBP	5.145092334664886e-4
RBMS3	5.141996976882837e-4
DPEP1	5.111181009613647e-4
AKAP12	5.106414782807456e-4
RIMKLB	5.10138616272565e-4
DEPDC5	5.096483404842085e-4
RFX8	5.09190676535384e-4
DLG3	5.080161895102309e-4
SLC35E3	5.06770880047003e-4
SAMD4A	5.001285884181976e-4
SULT2B1	4.987917028088798e-4
IL2RG	4.98272882411455e-4
SPSB4	4.98272882411455e-4
CD47	4.944854981852189e-4
CRLF2	4.938230389017825e-4
SEMA6C	4.924417552048665e-4
STAG3	4.91715632403525e-4
FAM189A1	4.911718054896767e-4
GXYLT2	4.870666255565875e-4
MARCHF3	4.8685677467163134e-4
NINL	4.859302395808551e-4
GASK1A	4.814349910788875e-4
POU2AF1	4.805425916193783e-4
ARL4D	4.7780764723722504e-4
GPR153	4.761414244087108e-4
SLC6A19	4.745104133050693e-4
OR6T1	4.733188197492046e-4
NPY	4.725336715705709e-4
PREX2	4.681321803300224e-4
RASSF10	4.681321803300224e-4
ZFAT	4.68095207458615e-4
SLC27A3	4.6801950819185906e-4
TFRC	4.6708323247121445e-4
SHISAL1	4.649907406464668e-4
KCTD1	4.638310247751124e-4
PPARG	4.617595165834206e-4
SLC35D2	4.6023751090507303e-4
KRT72	4.597674192063238e-4
LCP2	4.590377338230127e-4
AEBP1	4.585319718295349e-4
TMEM63C	4.5819460374583223e-4
CSN1S1	4.566306235262762e-4
SLC44A5	4.566306235262762e-4
RCAN1	4.563292810069591e-4
UHRF1	4.5555343667409855e-4
ZNF99	4.5535595485915925e-4
OR8D4	4.55232809168434e-4
RABEP2	4.5423746313599334e-4
AL160269.1	4.5423746313599334e-4
ARHGAP10	4.5164380408859876e-4
ZNF70	4.5140006112330067e-4
COL27A1	4.5129065952495784e-4
TERT	4.4810450152425795e-4
LAMA3	4.4714506554081006e-4
MGAT5B	4.4644177399732403e-4
DUSP15	4.428736940284588e-4
GANC	4.415189610350331e-4
TMPRSS3	4.404695849978439e-4
CYP4F11	4.3928731789841973e-4
AFAP1L1	4.376028852482452e-4
DENND1C	4.376028852482452e-4
LGR6	4.2917879952451886e-4
EGLN3	4.289062426039328e-4
ZC3H12D	4.2802508130046897e-4
EFNB1	4.2762011934419184e-4
FAM222A	4.274860753251366e-4
TCFL5	4.2740834073605547e-4
DHRS7	4.2725385415625934e-4
NETO1	4.2725385415625934e-4
MDK	4.2657232936203543e-4
ZFP30	4.2657232936203543e-4
SLC16A2	4.2657232936203543e-4
OPALIN	4.255457212621293e-4
SLC4A11	4.219950255933568e-4
HVCN1	4.2167791833687147e-4
GARNL3	4.205080324602471e-4
IRS1	4.1674059303552235e-4
TINAGL1	4.154382072249888e-4
KYNU	4.147166898381302e-4
USP18	4.1445943159756866e-4
TMEM150C	4.13898302820879e-4
TASP1	4.137994636052677e-4
WDR74	4.137914441830515e-4
GLI3	4.114373715792795e-4
OR4D5	4.1114020376789096e-4
STAT4	4.1076588307477254e-4
IL1R1	4.1057162135613737e-4
GPR35	4.0981914482787253e-4
MAPK11	4.097461306347843e-4
IGFBP6	4.092936332984352e-4
SMC6	4.083250847581835e-4
AGO1	4.082807397492118e-4
TNFRSF10A	4.082807397492118e-4
N4BP3	4.082807397492118e-4
FGF16	4.0695033860317496e-4
ZNF385C	4.064416620373176e-4
CCDC195	4.045696718553634e-4
CCDC24	4.0374732170495975e-4
CREB3L3	4.010003110629966e-4
LRRC28	4.0078739093454385e-4
ZHX2	3.993667922444604e-4
LOXL2	3.972804364513626e-4
ATP9A	3.9682255348113843e-4
PCDHGA4	3.9682255348113843e-4
POU4F1	3.9619057315653605e-4
SCHIP1	3.9568604788872973e-4
GPC4	3.9343043928886993e-4
H3C1	3.9343043928886993e-4
LMF1	3.9240676041047724e-4
C9orf152	3.916391418921025e-4
TTC28	3.910523870382954e-4
TLE1	3.9073551596453305e-4
PIR	3.905866104616208e-4
SLC4A4	3.898676445426807e-4
FSTL1	3.889914550431922e-4
SYT1	3.8851395290753494e-4
MYBPC2	3.8851395290753494e-4
ID3	3.8851395290753494e-4
KIF26A	3.8642520366094236e-4
GAD1	3.8520578600523774e-4
AMZ1	3.841639935692281e-4
TSPAN9	3.8407020983155174e-4
FAH	3.8407020983155174e-4
SIK1	3.8407020983155174e-4
FADS3	3.8311763817381727e-4
TSPAN14	3.830345425834832e-4
ENPP4	3.8275473327841164e-4
SPRED1	3.8266268655554525e-4
PNPLA7	3.8231012138205156e-4
CFH	3.817337002783992e-4
OR5P3	3.8095583546848106e-4
PTGR1	3.807576220784158e-4
GNA11	3.790493980522348e-4
ADAMTS1	3.771345956016742e-4
RORB	3.7688999788078505e-4
OR5P2	3.7655234511255127e-4
SULT1E1	3.764368272784931e-4
GNAQ	3.748072770120182e-4
PCDHGC5	3.737479575413592e-4
OR10S1	3.7370095651851097e-4
NCKAP5	3.730340334236273e-4
PHLDA1	3.729839992553377e-4
DEF8	3.7156382424405907e-4
MAGI1	3.7140793166068597e-4
TAMALIN	3.7067486899994187e-4
TMED6	3.7059246289441355e-4
IL7	3.7034900580836883e-4
ID2	3.693977024675071e-4
ITGA6	3.68211988838535e-4
FRMD6	3.6746932044427706e-4
LHFPL2	3.6746932044427706e-4
TBC1D30	3.674634200759897e-4
CDH6	3.674634200759897e-4
VPREB1	3.674634200759897e-4
NEURL1B	3.674634200759897e-4
ATP6V0A4	3.668946994664933e-4
ACKR2	3.6653097882496645e-4
TAF13	3.6510498968456606e-4
EFCC1	3.649314084214734e-4
TRPM5	3.628296095800172e-4
CCDC151	3.628249557124069e-4
GRAMD2B	3.620275497204939e-4
SPIB	3.6106270713692935e-4
ARL4C	3.607615350704527e-4
TUNAR	3.60323621677204e-4
MSMB	3.602718758432889e-4
CCDC57	3.5961512788153005e-4
