""
"RP1L1",0
"CABS1",0
"SLC45A2",0
"RTL1",0
"CFAP46",0
"ROS1",0
"MUC5AC",0
"OBI1",0
"MUC16",0
"MAP1B",0
"ROBO1",0
"GPRC6A",0
"ZDHHC8",0
"LCA5",0
"KCNK18",0
"MERTK",6.31735883861675e-06
"ZNF804B",6.31735883861675e-06
"PTCH1",6.31735883861675e-06
"ARHGAP31",6.31735883861675e-06
"KLF9",6.31735883861675e-06
"ZNF532",6.31735883861675e-06
"ZNF420",6.31735883861675e-06
"FAM131B",1.89520765158503e-05
"LYPD6",1.89520765158503e-05
"PLEKHG3",1.89520765158503e-05
"GRID1",1.89520765158503e-05
"CAPRIN2",1.89520765158503e-05
"OR3A1",1.89520765158503e-05
"ARHGAP18",3.15867941930838e-05
"VWF",3.15867941930838e-05
"FBXO40",3.79041530317005e-05
"LRRN1",3.79041530317005e-05
"ZNF662",4.42215118703173e-05
"OR4K13",4.42215118703173e-05
"FAM53A",4.42215118703173e-05
"GAP43",4.42215118703173e-05
"PRF1",4.42215118703173e-05
"AHDC1",4.42215118703173e-05
"HOXD3",5.68562295475508e-05
"APOB",5.68562295475508e-05
"NOC4L",7.5808306063401e-05
"OR5M8",8.84430237406345e-05
"KLK13",9.47603825792513e-05
"BBS12",9.47603825792513e-05
"FBN2",9.47603825792513e-05
"CAPZA3",0.000107395100256485
"EEF1A1",0.000120029817933718
"IL1RAP",0.000132664535610952
"GREB1",0.000151616612126802
"LRRC56",0.000151616612126802
"CLEC4D",0.000183203406319886
"PLAAT1",0.000189520765158503
"APOBEC3F",0.000189520765158503
"HRC",0.00021479020051297
"BPIFB1",0.000221107559351586
"PCYOX1L",0.000240059635867437
"TNS1",0.000240059635867437
"NAT2",0.000246376994706053
"UNC45A",0.000246376994706053
"KCNA4",0.00025269435354467
"RIMKLB",0.000296915865414987
"EZH2",0.000296915865414987
"TRPM1",0.000303233224253604
"ZGPAT",0.000334820018446688
"LCE2D",0.000347454736123921
"RNF180",0.000366406812639772
"RUNX1T1",0.000454849836380406
"IGLC3",0.00048643663057349
"PTPRQ",0.00052434078360519
"VXN",0.000587514371991358
"PGAM2",0.000593831730829975
"GSC2",0.000638053242700292
"OR2T3",0.000650687960377525
"KIF15",0.000726496266440926
"ATP8B3",0.000726496266440926
"UBE2I",0.000821256649020178
"TTC6",0.000897064955083579
"MROH1",0.000897064955083579
"POM121L12",0.000903382313922195
"PDE6B",0.000928651749276662
"MAGEC1",0.001054998926049
"HSPA1L",0.001054998926049
"ATAD2",0.00107395100256485
"RPL5",0.0011308072321124
"ZFYVE16",0.00125715440888473
"RHBDF1",0.00129505856191643
"TRPC7",0.00132664535610952
"TRIM32",0.0013961363033343
"EVC2",0.001434040456366
"XIRP1",0.00155407027429972
"PLCD4",0.00163619593920174
"TRPC5",0.00172463896294237
"DOC2A",0.00174990839829684
"JAK1",0.00186993821623056
"KRT39",0.00190784236926226
"TLE6",0.00198365067532566
"PTAR1",0.00224897974654756
"PI4K2A",0.00228688389957926
"ZNF717",0.00265329071221904
"TECTA",0.00280490732434584
"SVIL",0.00289966770692509
"SMOC2",0.00309550583092221
"SRPK1",0.00320921829001731
"MYB",0.00328502659608071
"NIPBL",0.00337346961982134
"RAC2",0.00337978697865996
"PLCE1",0.0034682300024006
"ZNF22",0.00351245151427091
"STAT5B",0.003544038308464
"PCDHGB6",0.0038093673796859
"DLG5",0.00387254096807207
"PCDHB7",0.0039609839918127
"ARFGEF3",0.00405574437439195
"CSMD3",0.00410628324510089
"TTN",0.00416945683348705
"HYDIN",0.00463694138754469
"MARCHF7",0.00463694138754469
"GABRA6",0.00476960592315565
"IFT81",0.00477592328199426
"PGR",0.00479487535851011
"SLC13A1",0.00496544404715277
"ATP2B2",0.00497176140599138
"EPB41L1",0.00502861763553893
"GFRAL",0.0050917912239251
"EDNRA",0.00511074330044095
"METTL22",0.00526235991256775
"SLC12A1",0.00530658142443807
"ADAM10",0.00536343765398562
"ARHGEF6",0.00544556331888764
"RGS3",0.00545188067772626
"NALCN",0.00550241954843519
"PAK1IP1",0.00553400634262827
"CAPN13",0.00554664106030551
"NOTCH1",0.00555927577798274
"GOLGA3",0.00556559313682136
"SERPINA11",0.00572352710778678
"RING1",0.00572984446662539
"KIRREL3",0.00575511390197986
"LRRK2",0.00576143126081848
"XPC",0.00576774861965709
"MIB2",0.00581197013152741
"STMN2",0.00586250900223634
"OR4A16",0.00590673051410666
"CHSY3",0.0059193652317839
"ANKDD1B",0.00592568259062251
"OR10A3",0.00597622146133145
"JAK3",0.00601412561436315
"TSNAX",0.00605202976739485
"CCDC78",0.00605202976739485
"IRGC",0.00605834712623346
"TNXB",0.00607729920274931
"FGG",0.00608993392042655
"TMEM14C",0.0061088859969424
"DYSF",0.0061088859969424
"ZNF618",0.00611520335578101
"NLRP4",0.00611520335578101
"ERG",0.00612152071461963
"CUX1",0.00613415543229686
"INSC",0.00614047279113548
"UBAP1",0.00614047279113548
"EHBP1",0.00614047279113548
"SERPINA12",0.0061467901499741
"ITPR2",0.0061467901499741
"RABGAP1",0.00615942486765133
"ABCB4",0.00616574222648995
"AIM2",0.00616574222648995
"PLCXD3",0.00617205958532856
"MEF2C",0.00617837694416718
"DUSP15",0.0061846943030058
"KIF5A",0.0061846943030058
"NR6A1",0.00619101166184442
"DTX1",0.00619101166184442
"NECTIN1",0.00620996373836027
"AASS",0.00622891581487612
"UNC5D",0.00622891581487612
"CTCF",0.00624155053255335
"ZSWIM5",0.00624155053255335
"CMAS",0.00624786789139197
