"","norm_DE"
"SLC12A3",0.000641086504424484
"MIOX",0.000640544548304079
"TLL2",0.000632569168987932
"TERF2",0.00062957211628454
"ZNF608",0.000628112580080341
"SNX29",0.000627868191465875
"OR13A1",0.000625897208787892
"TEX54",0.000622598637832258
"PPP1R3G",0.000617948927488225
"CELSR2",0.000617289370140367
"MME",0.00061382213116968
"PCDHGC3",0.00061382213116968
"VWA2",0.000613632729296229
"TBX21",0.000608855986209706
"RASL10A",0.00060754067688166
"DRC7",0.000607038385965048
"CYP4F2",0.000607038385965048
"TBC1D16",0.00060321387516333
"NOS2",0.000602852420765522
"ATG101",0.000602228201739035
"MMP14",0.000600755521740182
"PTCH1",0.000600129250009071
"SPNS3",0.000598248449164417
"ADM2",0.0005972625897536
"DLL1",0.000594821434342895
"RGL1",0.000593737052092379
"CDC14B",0.000593597003517805
"ECM1",0.000591994983925251
"SPTLC3",0.000590636215665284
"CREG2",0.000590636215665284
"UNC79",0.000586841088286552
"PLVAP",0.000586492490053482
"CLCF1",0.000584666112781309
"F2RL3",0.000583507252478993
"RAG1",0.000583136313861406
"DGKH",0.000580747612360575
"GPR171",0.000580321332518827
"PLEKHG4B",0.000578064562390321
"DBNDD1",0.000577542429159851
"FAM240C",0.000577542429159851
"CCL24",0.000573938482583942
"BCAS4",0.000571859192947686
"SPRY4",0.000569751108216491
"FRRS1",0.000567289840378931
"TMEM121",0.000564567219334415
"ERBB4",0.000563092989296901
"ABHD15",0.000560641292398584
"MAGI2",0.000560402357876844
"SCN3A",0.000558544050846973
"TRAF3IP2",0.000557686844479613
"FSTL4",0.000554951025012978
"MYO1G",0.000554951025012978
"LRP6",0.000554691468561642
"KIF16B",0.000551740183465514
"CD79A",0.000551067658360292
"EMP2",0.000549854063583227
"CELSR1",0.000546500571742981
"LRFN2",0.000541349298546849
"PLEKHG1",0.000541139853083355
"SYNE3",0.000539841734454633
"TNFRSF10D",0.000539651420781424
"CAMK1D",0.000538031582182252
"RNF150",0.000537756942676176
"ZFPM2",0.000537538233266997
"TMEM225",0.000537497119144906
"CDH11",0.000536416299530053
"KCNK3",0.000536416299530053
"CASP8",0.000536088056886024
"GDA",0.000532919913717872
"MDM2",0.000532071799045073
"PDZRN3",0.000530252920228925
"MGLL",0.000527373597865495
"ASAP2",0.000527317798903658
"GPM6B",0.000527150793541891
"TXNDC5",0.000526912806134203
"SNX25",0.000524216815775551
"MSH6",0.000524140047370282
"COX8C",0.00052409837959846
"CBX4",0.000521763098974208
"SCN9A",0.000521601316434459
"ERICH3",0.000520521425795602
"NIBAN3",0.000519854767637207
"TMPRSS15",0.000517757481482548
"NUCB2",0.000517748763073662
"MYEF2",0.000516329479401954
"SLBP",0.000514509233466489
"RBMS3",0.000514199697688284
"DPEP1",0.000511118100961365
"AKAP12",0.000510641478280746
"RIMKLB",0.000510138616272565
"DEPDC5",0.000509648340484208
"RFX8",0.000509190676535384
"DLG3",0.000508016189510231
"SLC35E3",0.000506770880047003
"SAMD4A",0.000500128588418198
"SULT2B1",0.00049879170280888
"IL2RG",0.000498272882411455
"SPSB4",0.000498272882411455
"CD47",0.000494485498185219
"CRLF2",0.000493823038901783
"SEMA6C",0.000492441755204866
"STAG3",0.000491715632403525
"FAM189A1",0.000491171805489677
"GXYLT2",0.000487066625556588
"MARCHF3",0.000486856774671631
"NINL",0.000485930239580855
"GASK1A",0.000481434991078888
"POU2AF1",0.000480542591619378
"ARL4D",0.000477807647237225
"GPR153",0.000476141424408711
"SLC6A19",0.000474510413305069
"OR6T1",0.000473318819749205
"NPY",0.000472533671570571
"PREX2",0.000468132180330022
"RASSF10",0.000468132180330022
"ZFAT",0.000468095207458615
"SLC27A3",0.000468019508191859
"TFRC",0.000467083232471214
"SHISAL1",0.000464990740646467
"KCTD1",0.000463831024775112
"PPARG",0.000461759516583421
"SLC35D2",0.000460237510905073
"KRT72",0.000459767419206324
"LCP2",0.000459037733823013
"AEBP1",0.000458531971829535
"TMEM63C",0.000458194603745832
"CSN1S1",0.000456630623526276
"SLC44A5",0.000456630623526276
"RCAN1",0.000456329281006959
"UHRF1",0.000455553436674099
"ZNF99",0.000455355954859159
"OR8D4",0.000455232809168434
"RABEP2",0.000454237463135993
"AL160269.1",0.000454237463135993
"ARHGAP10",0.000451643804088599
"ZNF70",0.000451400061123301
"COL27A1",0.000451290659524958
"TERT",0.000448104501524258
"LAMA3",0.00044714506554081
"MGAT5B",0.000446441773997324
"DUSP15",0.000442873694028459
"GANC",0.000441518961035033
"TMPRSS3",0.000440469584997844
"CYP4F11",0.00043928731789842
"AFAP1L1",0.000437602885248245
"DENND1C",0.000437602885248245
"LGR6",0.000429178799524519
"EGLN3",0.000428906242603933
"ZC3H12D",0.000428025081300469
"EFNB1",0.000427620119344192
"FAM222A",0.000427486075325137
"TCFL5",0.000427408340736055
"DHRS7",0.000427253854156259
"NETO1",0.000427253854156259
"MDK",0.000426572329362035
"ZFP30",0.000426572329362035
"SLC16A2",0.000426572329362035
"OPALIN",0.000425545721262129
"SLC4A11",0.000421995025593357
"HVCN1",0.000421677918336871
"GARNL3",0.000420508032460247
"IRS1",0.000416740593035522
"TINAGL1",0.000415438207224989
"KYNU",0.00041471668983813
"USP18",0.000414459431597569
"TMEM150C",0.000413898302820879
"TASP1",0.000413799463605268
"WDR74",0.000413791444183052
"GLI3",0.00041143737157928
"OR4D5",0.000411140203767891
"STAT4",0.000410765883074773
"IL1R1",0.000410571621356137
"GPR35",0.000409819144827873
"MAPK11",0.000409746130634784
"IGFBP6",0.000409293633298435
"SMC6",0.000408325084758184
"AGO1",0.000408280739749212
"TNFRSF10A",0.000408280739749212
"N4BP3",0.000408280739749212
"FGF16",0.000406950338603175
"ZNF385C",0.000406441662037318
"CCDC195",0.000404569671855363
"CCDC24",0.00040374732170496
"CREB3L3",0.000401000311062997
"LRRC28",0.000400787390934544
"ZHX2",0.00039936679224446
